r_object_id;object_name;title;subject;resolution_label;owner_name;owner_permit;group_name;group_permit;world_permit;log_entry;acl_domain;acl_name;language_code;ae_atr_label_atributo;ae_atr_nombre_atributo;ae_atr_locale;ae_atr_atributo_depende;ae_atr_atributo_dependiente;ae_atr_valor_depende;ae_atr_atributo_depende_aux;ae_atr_valor_depende_aux;ae_atr_valor_depende_aux2;ae_atr_atributo_dep_aux2;ae_atr_abrev;ae_atr_atributo_dep_aux3;ae_atr_label_depende;ae_atr_label_depende_aux;ae_atr_label_depende_aux2;ae_atr_label_depende_aux3;ae_atr_valor_depende_aux3;ae_atr_id;ae_atr_id_depende;ae_atr_id_depende_aux;ae_atr_id_depende_aux2;ae_atr_id_depende_aux3;ae_atr_activo;r_object_type;r_creation_date;r_modify_date;a_content_type
0900271280599633;Urumea;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Goizueta;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599632;Ter;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;La Caseta;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599631;Ter;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Folcrá;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599630;Ter;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Coromina;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599628;Nansa;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Herrerías;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
0900271280599629;Nansa;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Peña del Bejo;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059962a;Nansa;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Rozadío;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059962b;Riera Osor;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Osor;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059962c;Segre;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Aitona;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
090027128059962d;Segre;;;;dmadmin;1;docu;1;3;;dm_energia;ae_acl_ceco_lista_valores;;Cuenca-Basin;ae_atr_ceco_cuenca;;Tipo de Generación-Generation Type;1;Hidráulica - Hydraulic;Instalaciones-Facilitie;Rialb;;;;;;;;;;;;;;;0;ae_doc_configuracion;04/05/2017 9:51;07/05/2018 11:25;
